ASL;Consultorio Familiare;Indirizzo;Telefono;Orari;Email/sito
ROMA 1;CONSULTORIO  FAMILIARE 'MONTE MARIO';PIAZZA SANTA MARIA DELLA PIET� 5, 00135, ROMA;06 60106696;"Lun-Ven 7:30-13:30
Lun, Mar e Gio 7:30-13:30/14:00-17:00 ";"consultori14@aslroma1.it
spaziogiovani14@aslroma1.it"
ROMA 1;CONSULTORIO FAMILIARE 'CLAUZETTO';VIA SAN DANIELE DEL FRIULI 8, 00188, ROMA;06 60105331;"Lun-Ven 8:00-13:00
Lun e Mer 8:00-13:00/14:00-17:00";consultorio.labaro@aslroma1.it
ROMA 1;"CONSULTORIO FAMILIARE ""CASSIA""";VIA CASSIA 472, 00189, ROMA;06 60105674;"Lun-Ven 8:00-13:00
Mar e Gio 8:00-13:00/14:00-17:00";consultorio.cassia@aslroma1.it
ROMA 1;CONSULTORIO FAMILIARE 'IMRE';VIALE ANGELICO, 28, 00136, ROMA;06 6010.6232;Lun-Ven 8:00-13:00 e Lun-Mar-Mer 14:00-17:00;consultorio.imre@aslroma1.it
ROMA 1;CONSULTORIO FAMILIARE 'JACOBINI – PRIMAVALLE';VIA LODOVICO JACOBINI, 6, 00168, ROMA;"06 6010.5202
";Lun-Ven 8:00-13:00 - Mar e Gio 8:00-13:00/14:00-16:30;"consultori14@aslroma1.it
spaziogiovani14@aslroma1.it"
ROMA 1;CONSULTORIO FAMILIARE 'SILVERI';VIA DOMENICO SILVERI 8, 00168, ROMA;06 60105325;Lun-Ven 8:00-13:30 - Mar, Mer, Gio 14:00-17:00;coordinamentoconsultori@aslroma1.it
ROMA 1;CONSULTORIO FAMILIARE 'MONTESPACCATO';VIA COSIMO TORNABUONI 50, 00166, ROMA;06 60106263;Lun-Ven 8:00-13:30 - Lun-Gio 14:00-17:00;coordinamentoconsultori@aslroma1.it
ROMA 1;CONSULTORIO FAMILIARE 'SANTA MARIA – PUCCINOTTI';VIA DI S. GIOVANNI IN LATERANO, 155, 00184, ROMA;"06 60105505/56
";"Lun-Ven 8:30-12:30
Lun-Gio 14:30-16:30";coordinamentoconsultori@aslroma1.it
ROMA 1;CONSULTORIO FAMILIARE 'TAGLIAMENTO';VIA TAGLIAMENTO 19, 00198, ROMA;06 6010.5958;Lun-Ven 9:00-13:00- Mar e Gio 14:00-16:30;"consultorio.2ds@aslroma1.it
coordinamentoconsultori@aslroma1.it"
ROMA 1;CONSULTORIO FAMILIARE 'FRENTANI';VIA DEI FRENTANI, 6, 00185, ROMA;06 60105560;"Lun-Ven 8:00-13:00
Lun-Mer 14:00-16:30";consultori.2ds@aslroma1.it
ROMA 1;CONSULTORIO FAMILIARE MONTE ROCCHETTA;Via Monte Rocchetta, 14, 00139, Roma;06 60105052;Lun-Ven 8:00-13:00/14:00-17:00;consultori.3ds@aslroma1.it
ROMA 1;CONSULTORIO FAMILIARE 'DINA GALLI';VIA DINA GALLI 3, 00139, ROMA;06 60105705 - 06 60105706;Lun-Ven 8:00-13:00/14:00-17:00;consultori.3ds@aslroma1.it
ROMA 1;CONSULTORIO FAMILIARE 'ROVANI';LARGO ROVANI, 5, 00137, ROMA;06 77304805;Lun-Ven 8:30-18:00;consultori.3ds@aslroma1.it
ROMA 2;CONSULTORIO FAMILIARE'CONDOTTIERI' D5;P.ZZA DEI CONDOTTIERI 34, 00176, ROMA;06 51008553;Lun-Ven 8:30-13:00 - Lun e Mer 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE'SPENCER' D5;VIA HERBERT SPENCER 282, 00177, ROMA;06 51008804-8795;Lun-Ven 8:30-13:00, Mar e Gio 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE MONZA D7;VIA MONZA 2, 00182, ROMA;06 51006518;Lun-Ven 8:30-13:00, Mar e Gio 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE IBERIA  D7;VIA IBERIA, 73, 00183, ROMA;06 51008580;Lun-Ven 8:30-13:00, Mar e Gio 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE DENINA D7;VIA CARLO DENINA 7, 00179, ROMA;06 51008571- call center vaccinazioni 0-12 mesi 0651006665;Lun-Ven 8:30-13:00, Mar e Gio 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE SETTE CHIESE D8;LARGO SETTE CHIESE,25, 00145, ROMA;06 51008896;Lun-Ven 8:30-13:00, Lun e Gio 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE VIA DEI LINCEI 93 D8;VIA DEI LINCEI 93, 00147, ROMA;06 51008646;Lun-Ven 8:30-13:00, Lun e Mer 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE STAME D9;VIA NICOLA STAME, 162, 00128, ROMA;06 51007400;Lun-Ven 8:30-13:00, Mar e Gio 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
